dataset,case_id,n_tokens,n_sentences,n_violations,n_judge_confirmed,n_generated,n_rerouted,n_despecified,trace_jsonl
ctrate,train_7250_f_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_7250_f_1/trace.jsonl
ctrate,train_17575_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17575_a_1/trace.jsonl
ctrate,train_3724_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3724_a_1/trace.jsonl
ctrate,train_19625_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19625_b_1/trace.jsonl
ctrate,train_4506_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_4506_a_2/trace.jsonl
ctrate,train_13931_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13931_a_2/trace.jsonl
ctrate,train_17651_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17651_a_2/trace.jsonl
ctrate,valid_470_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/valid_470_a_1/trace.jsonl
ctrate,train_6233_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_6233_a_1/trace.jsonl
ctrate,train_1347_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1347_a_1/trace.jsonl
ctrate,train_1087_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1087_a_1/trace.jsonl
ctrate,train_17186_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17186_a_2/trace.jsonl
ctrate,train_1777_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1777_a_1/trace.jsonl
ctrate,train_1272_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1272_a_1/trace.jsonl
ctrate,train_8498_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_8498_a_2/trace.jsonl
ctrate,train_3374_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3374_a_2/trace.jsonl
ctrate,train_4106_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_4106_a_1/trace.jsonl
ctrate,train_624_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_624_a_1/trace.jsonl
ctrate,train_16642_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_16642_a_2/trace.jsonl
ctrate,train_8138_b_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_8138_b_2/trace.jsonl
ctrate,train_16172_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_16172_a_2/trace.jsonl
ctrate,train_13131_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13131_a_1/trace.jsonl
ctrate,train_14614_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_14614_a_1/trace.jsonl
ctrate,train_7986_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_7986_a_1/trace.jsonl
ctrate,train_17425_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17425_a_1/trace.jsonl
ctrate,train_8030_b_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_8030_b_2/trace.jsonl
ctrate,train_16505_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_16505_a_1/trace.jsonl
ctrate,train_17005_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17005_a_2/trace.jsonl
ctrate,train_19909_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19909_a_1/trace.jsonl
ctrate,train_6022_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_6022_a_2/trace.jsonl
ctrate,train_2494_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2494_a_1/trace.jsonl
ctrate,train_7608_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_7608_a_1/trace.jsonl
ctrate,train_19227_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19227_a_1/trace.jsonl
ctrate,train_7425_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_7425_a_1/trace.jsonl
ctrate,train_2691_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2691_a_2/trace.jsonl
ctrate,train_17202_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17202_a_1/trace.jsonl
ctrate,train_2753_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2753_a_2/trace.jsonl
ctrate,train_18242_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_18242_a_2/trace.jsonl
ctrate,train_13255_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13255_a_2/trace.jsonl
ctrate,train_13718_h_1,128,3,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13718_h_1/trace.jsonl
ctrate,train_4199_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_4199_a_2/trace.jsonl
ctrate,train_1589_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1589_a_1/trace.jsonl
ctrate,train_4381_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_4381_a_1/trace.jsonl
ctrate,train_13904_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13904_a_1/trace.jsonl
ctrate,train_5200_a_3,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_5200_a_3/trace.jsonl
ctrate,train_19219_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19219_a_1/trace.jsonl
ctrate,train_3184_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3184_a_1/trace.jsonl
ctrate,train_16764_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_16764_a_2/trace.jsonl
ctrate,train_19045_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19045_a_2/trace.jsonl
ctrate,train_2915_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2915_b_1/trace.jsonl
ctrate,train_7004_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_7004_a_2/trace.jsonl
ctrate,train_8320_c_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_8320_c_1/trace.jsonl
ctrate,train_18240_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_18240_a_2/trace.jsonl
ctrate,train_16751_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_16751_a_1/trace.jsonl
ctrate,train_17737_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17737_a_2/trace.jsonl
ctrate,train_1653_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_1653_a_1/trace.jsonl
ctrate,train_6106_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_6106_a_1/trace.jsonl
ctrate,train_14275_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_14275_a_1/trace.jsonl
ctrate,train_5461_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_5461_a_1/trace.jsonl
ctrate,train_19746_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_19746_a_2/trace.jsonl
ctrate,train_17270_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17270_a_1/trace.jsonl
ctrate,train_11318_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_11318_a_2/trace.jsonl
ctrate,train_10402_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_10402_a_2/trace.jsonl
ctrate,train_9209_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_9209_a_1/trace.jsonl
ctrate,train_788_a_5,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_788_a_5/trace.jsonl
ctrate,train_13860_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_13860_a_1/trace.jsonl
ctrate,train_4426_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_4426_a_1/trace.jsonl
ctrate,train_17085_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_17085_a_1/trace.jsonl
ctrate,train_15345_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_15345_b_1/trace.jsonl
ctrate,train_15792_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_15792_a_2/trace.jsonl
ctrate,train_11301_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_11301_a_1/trace.jsonl
ctrate,train_3124_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_3124_a_2/trace.jsonl
ctrate,train_2209_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/5k_ablation/A1_trained_spatial/cases/ctrate/train_2209_a_2/trace.jsonl
