dataset,case_id,n_tokens,n_sentences,n_violations,n_judge_confirmed,n_generated,n_rerouted,n_despecified,trace_jsonl
ctrate,train_16851_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_16851_b_1/trace.jsonl
ctrate,train_15877_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_15877_a_2/trace.jsonl
ctrate,train_19885_f_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_19885_f_1/trace.jsonl
ctrate,train_600_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_600_a_1/trace.jsonl
ctrate,train_13797_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_13797_a_2/trace.jsonl
ctrate,train_19995_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_19995_a_2/trace.jsonl
ctrate,train_4985_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_4985_a_1/trace.jsonl
ctrate,train_17444_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_17444_a_1/trace.jsonl
ctrate,train_7325_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_7325_a_2/trace.jsonl
ctrate,train_1070_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_1070_a_1/trace.jsonl
ctrate,train_7352_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_7352_a_2/trace.jsonl
ctrate,train_9521_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_9521_a_2/trace.jsonl
ctrate,train_547_a_1,128,8,3,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_547_a_1/trace.jsonl
ctrate,train_14556_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14556_a_1/trace.jsonl
ctrate,train_1713_b_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_1713_b_1/trace.jsonl
ctrate,train_3091_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_3091_a_2/trace.jsonl
ctrate,valid_481_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/valid_481_a_2/trace.jsonl
ctrate,train_14232_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14232_a_2/trace.jsonl
ctrate,valid_376_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/valid_376_a_1/trace.jsonl
ctrate,train_12402_a_5,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_12402_a_5/trace.jsonl
ctrate,train_18046_a_5,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_18046_a_5/trace.jsonl
ctrate,train_9838_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_9838_a_1/trace.jsonl
ctrate,train_5261_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_5261_a_1/trace.jsonl
ctrate,train_10245_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_10245_a_1/trace.jsonl
ctrate,valid_618_a_2,128,7,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/valid_618_a_2/trace.jsonl
ctrate,train_10537_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_10537_a_2/trace.jsonl
ctrate,train_17347_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_17347_a_1/trace.jsonl
ctrate,train_8005_a_1,128,8,3,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_8005_a_1/trace.jsonl
ctrate,valid_163_c_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/valid_163_c_1/trace.jsonl
ctrate,train_12838_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_12838_a_1/trace.jsonl
