condition,has_generation,spatial_n_sentences,spatial_n_violations,spatial_violation_rate,spatial_sentences_with_violations,spatial_sentence_violation_rate,spatial_n_rerouted,spatial_R1_LATERALITY,spatial_R2_ANATOMY,spatial_R3_DEPTH,spatial_R4_SIZE,spatial_R5_NEGATION,spatial_R6a_CROSS_LATERALITY,spatial_R6b_CROSS_PRESENCE,nlg_n_pairs,nlg_BLEU-1,nlg_BLEU-2,nlg_BLEU-3,nlg_BLEU-4,nlg_ROUGE-L,nlg_METEOR
A0_identity_spatial,False,3979,302,7.59,302,7.59,0,0,0,237,0,0,0,65,0,,,,,,
A1_trained_spatial,False,3979,239,6.01,239,6.01,0,0,0,174,0,0,0,65,0,,,,,,
B2_evcard_v1,True,3979,239,6.01,232,5.83,0,109,0,86,0,0,0,44,3979,0.6016,0.5488,0.506,0.4707,0.6425,0.6175
B2_evcard_v2,True,3979,169,4.25,167,4.2,0,98,0,23,0,0,0,48,3979,0.6045,0.5513,0.5081,0.4725,0.6426,0.619
C2_evcard_v1_judge,True,3979,246,6.18,238,5.98,128,113,0,86,0,0,0,47,3979,0.6059,0.5541,0.5119,0.4771,0.6431,0.6218
D2_repair,True,3979,237,5.96,230,5.78,131,102,0,86,0,0,0,49,3979,0.6051,0.5521,0.509,0.4738,0.6434,0.6217
E1_spatial_filter_rerank,False,3979,246,6.18,239,6.01,0,95,0,86,0,0,0,65,0,,,,,,
k_sweep/k1,False,1437,151,10.51,151,10.51,0,132,0,2,0,0,0,17,0,,,,,,
k_sweep/k12,False,1437,220,15.31,216,15.03,0,168,0,35,0,0,0,17,0,,,,,,
k_sweep/k14,False,1437,226,15.73,221,15.38,0,165,0,44,0,0,0,17,0,,,,,,
k_sweep/k2,False,1437,206,14.34,206,14.34,0,187,0,2,0,0,0,17,0,,,,,,
k_sweep/k4,False,1437,181,12.6,181,12.6,0,157,0,7,0,0,0,17,0,,,,,,
k_sweep/k6,False,1437,175,12.18,172,11.97,0,144,0,14,0,0,0,17,0,,,,,,
k_sweep/k8,False,1437,164,11.41,161,11.2,0,128,0,19,0,0,0,17,0,,,,,,
